BlockCode,MaxAdDown,MaxAdUp
090010103005002,101.0,100.0
090010103005003,101.0,100.0
090010103005004,101.0,35.0
090010103005005,101.0,35.0
090010103005006,101.0,100.0
090010103005007,101.0,35.0
090010103005008,101.0,35.0
090010103005009,101.0,100.0
090010103005010,101.0,35.0
090010103005011,101.0,100.0
090010103005012,101.0,100.0
090010103005013,101.0,35.0
090010103005014,101.0,100.0
090010103005015,101.0,35.0
090010103005016,101.0,100.0
090010103005017,101.0,100.0
090010104001000,101.0,100.0
090010104001001,101.0,100.0
090010104001002,101.0,100.0
090010104001003,101.0,35.0
090010104001004,101.0,35.0
090010104001005,101.0,35.0
090010104001006,101.0,35.0
090010104001007,101.0,100.0
090010104001008,101.0,100.0
090010104002000,101.0,100.0
090010104002001,101.0,100.0
090010104002002,101.0,100.0
090010104002003,101.0,100.0
090010104002004,101.0,100.0
090010104002005,101.0,100.0
090010104002006,101.0,100.0
090010104002007,101.0,35.0
090010104002008,101.0,100.0
090010104002009,101.0,35.0
090010104002010,101.0,100.0
090010104003000,101.0,100.0
090010104003001,101.0,100.0
090010104003002,101.0,35.0
090010104003003,101.0,100.0
090010104003004,101.0,35.0
090010104003005,101.0,35.0
090010104003006,101.0,100.0
090010104003007,101.0,100.0
090010104003008,101.0,100.0
090010104003009,101.0,100.0
090010104003010,101.0,100.0
090010104003011,101.0,100.0
090010104003012,101.0,100.0
090010104003013,101.0,100.0
090010104003014,101.0,100.0
090010104003015,101.0,100.0
090010104004000,101.0,100.0
090010104004001,101.0,100.0
090010104004002,101.0,100.0
090010104004003,101.0,35.0
090010104004004,101.0,35.0
090010104004005,101.0,100.0
090010104004006,101.0,100.0
090010104004007,101.0,35.0
090010104004008,101.0,35.0
090010104004009,101.0,35.0
090010104004010,101.0,35.0
090010104004011,101.0,35.0
090010104004012,101.0,35.0
090010104004013,101.0,35.0
090010104005000,101.0,100.0
090010104005001,101.0,100.0
090010104005002,101.0,100.0
090010104005003,101.0,100.0
090010104005004,101.0,100.0
090010104005005,101.0,100.0
090010104005006,101.0,100.0
090010104006000,101.0,100.0
090010104006001,101.0,100.0
090010104006002,101.0,100.0
090010104006003,101.0,100.0
090010104006004,101.0,100.0
090010104006005,101.0,100.0
090010104006006,101.0,35.0
090010105001000,101.0,100.0
090010105001001,101.0,100.0
090010105001002,101.0,100.0
090010105001003,101.0,100.0
090010105001004,101.0,100.0
090010105001005,101.0,100.0
090010105001006,101.0,100.0
090010105001007,101.0,100.0
090010105001008,101.0,100.0
090010105001009,101.0,100.0
090010105001010,101.0,35.0
090010105001011,101.0,100.0
090010105002000,101.0,100.0
090010105002001,101.0,100.0
090010105002002,101.0,100.0
090010105002003,101.0,100.0
090010105002004,101.0,100.0
090010105002005,101.0,100.0
090010105003000,101.0,35.0
090010105003001,101.0,100.0
090010105003002,101.0,100.0
090010105004000,101.0,100.0
090010105004001,101.0,100.0
090010105004002,101.0,100.0
090010105004003,101.0,100.0
090010105004004,101.0,100.0
090010105004005,101.0,100.0
090010105004006,101.0,100.0
090010105004007,101.0,100.0
090010105004008,101.0,100.0
090010105004009,101.0,100.0
090010105004010,101.0,100.0
090010105004011,101.0,100.0
090010105005000,101.0,100.0
090010105005001,101.0,100.0
090010105005002,101.0,100.0
090010105005003,101.0,100.0
090010105005004,101.0,35.0
090010105006000,101.0,100.0
090010105006001,101.0,35.0
090010105006002,101.0,100.0
090010105006003,101.0,100.0
090010105006004,101.0,35.0
090010105006005,101.0,100.0
090010105006006,101.0,100.0
090010105006007,101.0,100.0
090010105006008,101.0,100.0
090010105006009,101.0,100.0
090010105006010,101.0,100.0
090010105006011,101.0,100.0
090010105006012,101.0,100.0
090010106001000,101.0,100.0
090010106001001,101.0,100.0
090010106001002,101.0,100.0
090010106001003,101.0,100.0
090010106001004,101.0,100.0
090010106001005,101.0,100.0
090010106001006,101.0,100.0
090010106001007,101.0,100.0
090010106001008,101.0,100.0
090010106001009,101.0,35.0
090010106001010,101.0,100.0
090010106001011,101.0,100.0
090010106002000,101.0,100.0
090010106002001,101.0,100.0
090010106002002,101.0,100.0
090010106002003,101.0,35.0
090010106002004,101.0,35.0
090010106002005,101.0,100.0
090010106002006,101.0,100.0
090010106002007,101.0,100.0
090010106002008,101.0,100.0
090010106002009,101.0,35.0
090010106003000,101.0,100.0
090010106003001,101.0,35.0
090010106003002,101.0,100.0
090010106003003,101.0,100.0
090010106003004,101.0,100.0
090010106003005,101.0,100.0
090010106003006,101.0,100.0
090010106003007,101.0,35.0
090010106003008,101.0,100.0
